message_id,date,text
2396,2024-10-10T13:40:09+00:00,"💥ዛገ ይጀምራል
#የሞያ ፈቃድ በቅርቡ ለምታሳድሱ  💥             

#CPD_(+Online )

#ጥቅምት 1/ 2017 ይጀምራል❗️

# Infection Prevention(15 CEU)

ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------

☎️0965412222
☎️0968670067
☎️0942404444
☎️0965410000
📱0941404444
☎️0462124400  
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci"
2395,2024-10-09T10:46:24+00:00,"💥
#የሞያ ፈቃድ በቅርቡ ለምታሳድሱ  💥             

#CPD_(+Online )

#መስከረም 30/ 2017 ይጀምራል❗️

# Infection Prevention(15 CEU)

ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------

☎️0965412222
☎️0968670067
☎️0942404444
☎️0965410000
📱0941404444
☎️0462124400  
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci"
2393,2024-10-07T08:38:38+00:00,"#Basic_Abdominal_Ultrasound_Training @#Hawassa 
👉ጥቅምት 2/ 2017 ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register  
   📳 0965412222 Dr shalom
   📳0965410000
   📳0942404444
   📳0941404444
🏃For more info .follow us on telegram :-
t.me/eahci"
2392,2024-10-07T08:35:47+00:00,"💥 እንዳያመልጥዎ 💥
#Obstetric_Ultrasound_Training#Addis_Ababa

👉ጥቅምት 2 /2017ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
---------------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .
🚩የስልጠና ቦታ-በተመረጡ ሆስፒታሎች
✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
  📲Dr shalom 0965412222
   📳 Selam      0968670067
   📳 Ekram      0965410000
   📳 Tinbit       0942404444
   📳 Office        0941404444
   📳 Office        0462124400
🏃For more info .follow us on telegram :-
t.me/eahci"
2391,2024-10-06T12:48:06+00:00,"#Dental_Extraction & Care #Training #ነገ_ይጀምራል
                     @ Hawassa 
👉መስከረም 27/ 2017ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .

Call & Register  

   ☎️ 0965412222
   ☎️0968670067
   ☎️0965410000
   ☎️0942404444

🏃For more info .follow us on telegram :-
t.me/eahci"
2390,2024-10-06T08:00:58+00:00,"💥
#የሞያ ፈቃድ በቅርቡ ለምታሳድሱ  💥             
#CPD_(+Online )
#መስከረም 29/ 2017 ይጀምራል❗️

# Infection Prevention(15 CEU)

ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------
☎️0942404444 
☎️0965410000
☎️0965412222
☎️0462124400  
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci"
2389,2024-10-05T11:41:20+00:00,"Baga Ayyaana Irreechaa nagaan geessan!
መልካም የኢሬቻ በዓል! 
Ayyaana Gaarii!"
2388,2024-10-05T09:52:07+00:00,"Notice💥

 We would like to inform you that  Obstetric Ultrasound Training to be given at Addis Ababa has been postponed for the next week ( October 13 /2024) due to the Irrecha Holiday."
2387,2024-10-04T13:29:53+00:00,"#Dental_Extraction_&_Care_Training💥
                     @ Hawassa 
👉መስከረም 27/ 2017ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .

Call & Register  

   ☎️ 0965412222  Dr Shalom
   ☎️0968670067
   ☎️0965410000   Ekram
   ☎️0942404444

🏃For more info .follow us on telegram :-
t.me/eahci"
2386,2024-10-04T10:17:03+00:00,"#💥እሁድ_Addis_Ababa_Ultrasound_Training)#CPD_ስልጠናን_ከምርጥ_ክህሎት_ጋር_ያስተሳስሩ )
 #Addis Ababa  መስከረም 26  /2017 ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
----------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
📞Dr shalom 0965412222  
📞Selam        0968670067
📞Tinbit         0942404444
📞Ekram        0965410000
 📳Office        0941404444 
 📳 Office       0462124400
🏃For more info .follow us on telegram :-
t.me/eahci"
